institution,number,family,genus,species,cranium.length,rostrum.length,rostrum.width,rostrum.depth,coracoid,sternum.length,keel.length,keel.depth,humerus,ulna,carpometacarpus,femur,tibiotarsus,tarsometatarsus,island,landbird.spp.richness,island.area,elevation,nearest.continent,isolation,ecosystem.richness,raptor.spp,columbid.spp,kingfisher.spp,mammal.predators,location.1,location.2,location.3,collector,age,mass,wing.ch.,tail,subspecies,sex,other
AMNH,24801,Alcedinidae,Halcyon,Halcyon_malimbica,27.35,42.84,15.45,9.57,25.19,21.32,28.05,10.28,34.46,43.4,17.84,30.01,34.22,14.64,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Central African Republic,Sangha: Mbaere Prefercture,Bayanga,A.L. Porzecanski,NA,71,NA,NA,NA,female,NA
NMNH,623005,Alcedinidae,Halcyon,Halcyon_malimbica,30.17,48.77,16.1,10.34,28.03,23,28.74,9.99,38.02,47.11,19.75,24.36,36.83,16.41,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Gabon,Ogooue Maritime Prov.,Rabi Oil Field: Marianga River and Toucan Road,B.K. Schmidt,NA,72,NA,NA,NA,male,NA
NMNH,347425,Alcedinidae,Halcyon,Halcyon_malimbica,29.71,46.72,15.5,9.75,28.44,21.54,28.02,10.04,38.6,48.49,19.58,23.6,36.04,15.84,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Liberia,NA,NA,H.A. Beatty,NA,NA,NA,NA,NA,male,NA
NMNH,347421,Alcedinidae,Halcyon,Halcyon_malimbica,30.18,48.53,15.7,10.79,28.09,21.4,27.68,NA,37.8,47.84,19.95,23.92,36.27,16.31,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Liberia,NA,NA,H.A. Beatty,NA,NA,NA,NA,NA,male,NA
NMNH,347424,Alcedinidae,Halcyon,Halcyon_malimbica,26.41,40.76,13.88,7.67,24.32,19.31,26.05,8.74,33.31,42.11,17.91,20.39,30.32,13.68,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Liberia,NA,NA,H.A. Beatty,NA,NA,NA,NA,forbesi,male,NA
NMNH,488645,Alcedinidae,Halcyon,Halcyon_pileata,30.13,56.74,15.31,9.23,28.46,24.58,31.48,10.83,42.26,55.86,22.3,23.61,37.79,15.29,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Malaysia,Selangor,Port Swettenham,F.B. Gill,NA,NA,NA,NA,NA,male,NA
NMNH,290198,Alcedinidae,Halcyon,Halcyon_pileata,29.76,56.12,15.58,9.17,27.99,24.57,30.54,10.55,41.47,53.74,NA,23.83,38.06,14.91,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Thailand,Krung Thep Mahanakhon,Bangkok,H.M. Smith,NA,NA,NA,NA,NA,female,NA
NMNH,291099,Alcedinidae,Halcyon,Halcyon_senegalensis,25.41,40.17,12.64,7.52,22.73,18.76,23.55,8.26,31.55,39.32,16.2,18.83,30.26,12.63,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Cameroon,Efulan,NA,J.A. Reis,NA,NA,NA,NA,NA,female,NA
NMNH,291098,Alcedinidae,Halcyon,Halcyon_senegalensis,26.11,38.63,13.79,8.4,23.18,19.55,24.71,9.13,33.32,40.83,16.77,19.76,30.9,13.7,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Cameroon,Efulan,NA,J.A. Reis,NA,NA,NA,NA,NA,male,NA
AMNH,24717,Alcedinidae,Halcyon,Halcyon_senegalensis,25.82,37.89,13.82,8.62,24.27,19.52,25.76,9.02,34.14,42.61,18.13,19.88,31.07,14.04,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Central African Republic,Sangha: Mbaere Prefercture,Bayanga,R.W. Dickerman,juvenile,47,NA,NA,NA,male,NA
AMNH,5839,Alcedinidae,Halcyon,Halcyon_senegalensis,25.98,37.04,13.26,7.91,24.24,17.96,NA,NA,33.94,40.9,16.79,19.78,31.39,13.4,Hispanola,186,73929,3175,575,43,NA,12,4,3,no,Hanha,Angola,Africa,NA,NA,NA,NA,NA,NA,NA,NA
NMNH,347423,Alcedinidae,Halcyon,Halcyon_senegalensis,25.87,39.41,12.97,8.28,22.1,18.13,24.35,9.24,31.32,39.32,16.1,18.74,28.67,12.58,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Liberia,NA,NA,H.A. Beatty,NA,NA,NA,NA,fuscopileus,male,NA
NMNH,347422,Alcedinidae,Halcyon,Halcyon_senegalensis,24.95,42.12,13.63,7.91,23.68,NA,NA,8.96,32.47,40.27,17.14,19.7,30.8,13.54,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Liberia,NA,NA,H.A. Beatty,NA,NA,NA,NA,fuscopileus,male,NA
